"time","Pop.Bighorn.BCS","Pop.Bighorn.Ejido","Demand.Permit.Ejido","Price.Permit.Ejido","Rainfall.Change","Income.From.Permits","No.Permits.Ejido","Price.Permit.Relative","No.Permits.BCS","Price.Permit.Ejido.1","Sighting.Bighorn.Ejido","RunID","FutureID","Climate.Scenario","Resilience"
29.5,160.038992905094,34.5372738796142,26.0617401937609,351.718972310977,0.626794828207164,311.614520632563,0.885975864722603,0.255886111029647,4.23527190824042,351.718972310977,2.16543243560653,"2","2","CEH_2.1","NO"
30,155.074690849889,33.4711331024572,26.3016040264599,362.547800138014,0.610179106839925,311.244925704793,0.858493488544985,0.248243128121972,4.10389661865146,362.547800138014,2.09858709547269,"2","2","CEH_2.1","NO"
0,586,126,10,70,1.18446612674743,227.08672,3.244096,1.28571428571429,15.507904,70,7.90000067282297,"3","3","CEH_3.1","NO"
0.5,588.240430339271,126.472281788977,10.3752890889184,69.7573884843513,1.11390335492636,227.164867401552,3.25649902235821,1.29018591371421,15.5671947484985,69.7573884843513,7.92961199386014,"3","3","CEH_3.1","NO"
1,589.914036903279,126.82512378035,10.7510361840766,69.6270488361396,1.1010427484855,227.385517055676,3.26576410829655,1.2926011012158,15.6114850726084,69.6270488361396,7.95173462853669,"3","3","CEH_3.1","NO"
1.5,590.624991212869,126.974982094012,11.1269849311916,69.7117150723192,0.991256102893126,227.936391380797,3.26969995135444,1.29103121199405,15.6302997674574,69.7117150723192,7.9611305077332,"3","3","CEH_3.1","NO"
2,591.48549691576,127.156374072163,11.5027027780995,69.7516654016089,1.1203911292508,228.399297134196,3.27446371092565,1.29029177270259,15.6530721903787,69.7516654016089,7.97250349780809,"3","3","CEH_3.1","NO"
2.5,592.699786940191,127.412462925299,11.8786606268841,69.6987456283267,1.03305409191308,228.694549802114,3.2811860205009,1.29127144525572,15.6852071615852,69.6987456283267,7.98855986377693,"3","3","CEH_3.1","NO"
3,592.850856513549,127.444333080737,12.2545030952583,69.9108363757496,0.989092169454211,229.448926909277,3.28202234165901,1.28735407364142,15.6892050667746,69.9108363757496,7.9905580721055,"3","3","CEH_3.1","NO"
3.5,593.280066543242,127.534834426747,12.6299390674289,70.0458447821955,1.06769790865175,230.058463918346,3.28439844838339,1.28487278981146,15.7005636810004,70.0458447821955,7.9962323633307,"3","3","CEH_3.1","NO"
4,593.644547291466,127.61164161898,13.005286206379,70.1972780516456,0.982908514310311,230.697472753945,3.28641621380556,1.28210099448279,15.7102092995214,70.1972780516456,8.00104805277763,"3","3","CEH_3.1","NO"
4.5,593.606096556604,127.603495701482,13.3801512902178,70.4575282319565,1.01827834771129,231.537765346436,3.28620335053736,1.27736527605264,15.709191739274,70.4575282319565,8.00053731663706,"3","3","CEH_3.1","NO"
5,593.730710065454,127.629894582221,13.7546490204059,70.6711162776542,0.997971159276584,232.288412301326,3.28689321092235,1.27350471791624,15.7124895111722,70.6711162776542,8.00219248469741,"3","3","CEH_3.1","NO"
5.5,593.497216640746,127.580352170665,14.1286607459764,70.9907298726459,0.987596766276864,233.247184048029,3.28560059132317,1.26777116056499,15.7063103411807,70.9907298726459,7.99908625386701,"3","3","CEH_3.1","NO"
6,592.657133302521,127.401724225625,14.5019260405099,71.4997936131671,0.95894824013346,234.58723998748,3.28094988996276,1.25874489214506,15.6840783757179,71.4997936131671,7.98788656429558,"3","3","CEH_3.1","NO"
6.5,589.243434115655,126.67459200149,14.8736079717693,72.8387573426574,0.838377660242201,237.603788665653,3.26205165126427,1.2356059230474,15.5937382404367,72.8387573426574,7.94229652413766,"3","3","CEH_3.1","NO"
7,586.459171107638,126.081539928934,15.2424249173956,73.9956345926009,0.994743901179372,240.237036975218,3.24663797125189,1.21628796746612,15.5200555041925,73.9956345926009,7.90511309737405,"3","3","CEH_3.1","NO"
7.5,582.891940272873,125.321305739934,15.6095299138734,75.4530129255264,0.796586949725434,243.478556381498,3.22688978135062,1.19279531075627,15.4256523073813,75.4530129255264,7.85744761638516,"3","3","CEH_3.1","NO"
8,577.489220244045,124.169372651398,15.9729128428353,77.5805091096658,0.892275237547492,248.023361092951,3.19698032327103,1.16008519450135,15.2826747245384,77.5805091096658,7.78522323404801,"3","3","CEH_3.1","NO"
8.5,571.965006598683,122.991337885451,16.3330406244246,79.8170476631568,0.78835522064482,252.732562158357,3.16639827653031,1.12757866439532,15.1364819346276,79.8170476631568,7.71136231782906,"3","3","CEH_3.1","NO"
9,565.491562288448,121.610298473429,16.6889647577657,82.4669909620642,0.841843402611408,258.167969512036,3.13056128882885,1.09134574876633,14.9651687044015,82.4669909620642,7.62477333144673,"3","3","CEH_3.1","NO"
9.5,561.614883594153,120.78398255073,17.0415675747637,84.1891794378136,0.919098857103824,261.752577417757,3.10909999557723,1.0690209905951,14.8625762794357,84.1891794378136,7.57296463029367,"3","3","CEH_3.1","NO"
10,558.519888115964,120.124459405818,17.3920817091699,85.6444255611742,0.884061484938368,264.809660541365,3.09196610060998,1.05085648494092,14.7806703191009,85.6444255611742,7.53161357244807,"3","3","CEH_3.1","NO"
10.5,554.571516778383,119.28276345151,17.7402942723832,87.4765640894362,0.86918828539027,268.562491952887,3.07010791688513,1.02884699389866,14.6761806200231,87.4765640894362,7.47884056764376,"3","3","CEH_3.1","NO"
11,551.430461122002,118.613271454401,18.0861407229597,89.011563142832,0.929383778648286,271.727292942857,3.0527190327714,1.01110458936197,14.5930557231327,89.011563142832,7.43686447853573,"3","3","CEH_3.1","NO"
11.5,550.306425062617,118.373702585413,18.4305527845132,89.7179723240326,0.994595161996673,273.325476932365,3.04649636914665,1.00314349141718,14.5633092328571,89.7179723240326,7.42184388943893,"3","3","CEH_3.1","NO"
12,550.015862914819,118.311598062518,18.7744184970366,90.0738249478238,0.985720123034744,274.264692222906,3.04488781709644,0.999180395105164,14.5556197961778,90.0738249478238,7.41795003410044,"3","3","CEH_3.1","NO"
12.5,548.19695023534,117.923940247795,19.1175630907847,91.1098899040886,0.893380199494383,276.501962695486,3.03481831650284,0.98781811826074,14.507484091028,91.1098899040886,7.39364450237713,"3","3","CEH_3.1","NO"
13,546.283542301209,117.516122896569,19.4591574625209,92.2013227874519,0.979098767370701,278.837609042344,3.02422569017949,0.976124824233525,14.4568476634592,92.2013227874519,7.3680749996067,"3","3","CEH_3.1","NO"
13.5,544.087242338812,117.047950129842,19.7996444057185,93.4454929966118,0.87558510136407,281.464083285712,3.01206697358766,0.963128312708064,14.3987247812543,93.4454929966118,7.3387213077643,"3","3","CEH_3.1","NO"
14,542.124833540169,116.629578657234,20.1384197317544,94.5950998712477,0.993944503866291,283.899104942558,3.00120307847838,0.951423489403764,14.346791594807,94.5950998712477,7.31249007827942,"3","3","CEH_3.1","NO"
14.5,540.192703429546,116.217644510308,20.4762298741672,95.7535056119063,0.87701886169587,286.351510248572,2.99050680618597,0.939913368443913,14.2956597035595,95.7535056119063,7.28666245893123,"3","3","CEH_3.1","NO"
15,537.381463626932,115.618286933039,20.8122561968201,97.3590023269009,0.936615680102646,289.63755865632,2.9749437826387,0.924413745508692,14.2212630534231,97.3590023269009,7.24908368699718,"3","3","CEH_3.1","NO"
15.5,536.486914674939,115.427438555911,21.147061934635,98.0299673151857,1.00118029880031,291.148175517932,2.96999155964046,0.918086606217384,14.1975897099576,98.0299673151857,7.23711779566609,"3","3","CEH_3.1","NO"
